PID,Section.1,Section.2,Section.3,Section.4,Section.5,Section.6
1301,1,3,2,4,5,6
1302,6,2,3,4,5,1
1303,3,2,4,1,5,6
1304,2,1,3,4,5,6
1305,3,6,4,1,2,5
1306,6,4,2,3,5,1
1307,2,4,3,1,5,6
1308,2,3,4,1,5,6
1309,2,1,4,3,5,6
1310,6,4,2,5,1,3
1311,3,6,4,1,2,5
1312,3,6,4,2,1,5
1313,3,4,1,6,2,5
1314,2,6,4,3,1,5
1315,1,2,3,4,5,6
1316,1,4,3,2,6,5
1317,3,6,2,4,1,5
1318,3,2,4,1,5,6
1319,3,1,4,2,5,6
1320,1,2,3,4,5,6
1321, , , , , , 
1322,1,3,6,5,2,4
1323,3,4,5,1,2,6
1324,1,3,4,2,5,6
1325,1,6,3,2,4,5
1326,6,1,2,3,4,5
1327,3,4,6,5,2,1
1328,3,2,1,4,5,6
1329,1,3,6,2,5,4
1330,1,6,3,4,5,2
1331,2,1,4,3,6,5
1332,2,6,4,1,3,5
1333,3,2,4,6,1,5
1334,6,1,2,4,3,5
1335,3,1,2,4,5,6
1336,1,4,6,3,5,2
1337,6,5,1,2,3,4
1338,1,2,3,4,5,6
1339,4,6,3,2,5,1
1340,1,4,2,3,5,6
1341,3,4,1,2,5,6
1342,2,1,4,6,5,3
1343,2,5,3,4,1,6
1345,1,2,4,3,5,6
1347,3,2,6,4,1,5
1348,2,4,1,3,5,6
1349,3,4,2,1,5,6
1351,3,2,4,1,5,6
1352,3,2,5,4,6,1
1353,6,2,3,5,1,4
1354,1,2,3,5,4,6
1356,3,2,6,4,1,5
1357,3,1,4,2,5,6
1358,2,6,3,4,1,5
